GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
BBRSFD  FB,1,,4,6,8,R,-2,0,-15,B,3,,0,3,3,0,I,0,-1,-15,B,3,,0,25-JUN-2010 09:45:50.43,LDEAVILA,                                                                                                                                                                                                                                                                                                                 
BBTM    GH,1,,4,3,12,R,-9,0,-15,B,3,,0,2,6,3,I,0,-1,-15,B,3,D,1,25-JUN-2013 14:49:04.31,NPHELPS,                                                                                                                                                                                                                                                                                                                
BBWS    EV,1,,8,31,4,R,-1,0,-15,F,6,,0,8,9,0,I,0,-1,-15,T,3,,0,05-APR-2017 10:39:52.76,KBUCKALLEW,                                                                                                                                                                                                                                                                                                              
BBWS    OB,1,,3,31,4,R,-1,0,-15,F,5,,0,5,9,0,I,0,-4,-15,T,3,,0,25-MAR-2010 08:18:06.09,LDEAVILA,                                                                                                                                                                                                                                                                                                                
BBWS    PC,1,,14,31,4,R,-1,0,-15,F,6,,0,2,3,3,I,0,-1,-15,T,3,,0,31-DEC-2008 10:33:25.59,RMICHEL,                                                                                                                                                                                                                                                                                                                
BBWS    WD,1,,26,31,4,R,-1,0,-15,F,6,,0,11,12,3,I,0,-10,-15,T,3,,0,31-DEC-2008 10:45:45.02,RMICHEL,                                                                                                                                                                                                                                                                                                             
BBWS    WS,1,,20,31,4,R,-1,0,-15,F,6,,0,14,15,3,I,0,-13,-15,T,3,,0,31-DEC-2008 10:45:53.07,RMICHEL,                                                                                                                                                                                                                                                                                                             
BBWY    GH,1,,8,5,8,R,-3,0,-15,V,5,SDI,3,2,6,3,R,-15,-1,-15,B,3,D,1,18-APR-2008 14:41:26.76,LDEAVILA,                                                                                                                                                                                                                                                                                                           
BBWY    PC,1,,10,5,8,R,-3,0,-15,V,5,Cou,3,2,15,3,I,0,-1,-15,T,3,,0,27-JUN-2007 13:25:38.94,LDEAVILA,                                                                                                                                                                                                                                                                                                            
BCBCNE  GH,1,,4,3,8,R,-6,0,-15,B,3,,0,0,0,0,I,0,0,0,,0,,0,13-JUN-2006 10:12:27.27,LDEAVILA,                                                                                                                                                                                                                                                                                                                     
