Date,talsys_afavg
6/8/2001,97485.87579
6/9/2001,97362.05684
6/10/2001,97097.71947
6/11/2001,96961.13947
6/12/2001,96793.08737
6/13/2001,96614.39158
6/14/2001,96447.10105
6/15/2001,96259.51632
6/16/2001,96057.60789
6/17/2001,95886.23632
6/18/2001,95664.82105
6/19/2001,95434.59053
6/20/2001,95206.66842
6/21/2001,94932.36316
6/22/2001,94654.33421
6/23/2001,94381.71895
6/24/2001,94100.07842
6/25/2001,93839.85526
6/26/2001,93526.93842
6/27/2001,93183.96895
6/28/2001,92880.62947
6/29/2001,92531.45789
6/30/2001,92215.43579
7/1/2001,91854.91632
7/2/2001,91498.94211
7/3/2001,91123.61053
7/4/2001,90718.10368
7/5/2001,90339.77526
7/6/2001,89965.45
7/7/2001,89592.15895
7/8/2001,89216.20421
7/9/2001,88842.90105
7/10/2001,88438.19684
7/11/2001,88028.18789
7/12/2001,87639.79526
7/13/2001,87225.07526
7/14/2001,86813.72895
7/15/2001,86373.16211
7/16/2001,85938.03263
7/17/2001,85491.71368
7/18/2001,85075.37684
7/19/2001,84643.36211
7/20/2001,84220.12105
7/21/2001,83762.49842
7/22/2001,83352.10316
7/23/2001,82924.11158
7/24/2001,82471.61211
7/25/2001,82022.06421
7/26/2001,81580.17579
7/27/2001,81108.87211
7/28/2001,80656.93105
7/29/2001,80186.85316
7/30/2001,79714.92105
7/31/2001,79236.01684
8/1/2001,78761.50105
8/2/2001,78283.22737
8/3/2001,77803.42421
8/4/2001,77345.68316
8/5/2001,76858.66368
8/6/2001,76421.77526
8/7/2001,75955.73263
8/8/2001,75511.41211
8/9/2001,75080.08
8/10/2001,74612.19263
8/11/2001,74176.71895
8/12/2001,73718.11316
8/13/2001,73288.71211
8/14/2001,72832.00421
8/15/2001,72378.33737
8/16/2001,71914.86579
8/17/2001,71446.62737
8/18/2001,71023.2
8/19/2001,70600.15947
8/20/2001,69459.83526
8/21/2001,69033.92316
8/22/2001,68621.32526
8/23/2001,68220.05526
8/24/2001,67812.09263
8/25/2001,68106.31263
8/26/2001,67713.44842
8/27/2001,67302.88632
8/28/2001,66914.65316
8/29/2001,66523.53211
8/30/2001,66139.95579
8/31/2001,65750.01158
9/1/2001,65387.04895
9/2/2001,65032.05263
9/3/2001,64672.69526
9/4/2001,64333.62947
9/5/2001,63991.39684
9/6/2001,63650.21316
9/7/2001,63296.92
9/8/2001,62981.26421
9/9/2001,62667.72053
9/10/2001,62360.68526
9/11/2001,62052.23421
9/12/2001,61735.40053
9/13/2001,61421.89737
9/14/2001,61127.16947
9/15/2001,60854.38737
9/16/2001,60569.60947
9/17/2001,60304.43474
9/18/2001,60033.91632
9/19/2001,59772.45263
9/20/2001,59518.26316
9/21/2001,59265.20421
9/22/2001,59007.88947
9/23/2001,58761.46053
9/24/2001,58510.05053
9/25/2001,58267.48895
9/26/2001,58010.41684
9/27/2001,57753.83474
9/28/2001,57531.80474
9/29/2001,57308.65947
9/30/2001,57111.64947
