 AND         GD      : 1997-2018
 AND         HJ      : 1997-1998
 AND         MA      : 1983-1997
 AND         MB      : 1983-1997
 AND         MM      : 1985-2018
 AND         MN      : 1977-2018
 AND         MX      : 1960-2018
 AND         PC      : 1984-2018
 AND         PP      : 1982-2018
 AND         PU      : 1988-2018
 AND         PX      : 1960-2017
 AND         PY      : 1977-1981
 AND         QD      : 1997-1998, 2006
 AND         QS      : 1980
 AND         QU      : 1997-1998, 2006
 AND         QV      : 1980, 1987-2015
 AND         QZ      : 1980
 AND         SD      : 1981-2017
 AND         VT      : 1980, 1982-1985
 AND         WI      : 1999-2018
 AND         WK      : 1999-2018
 AND         WZ      : 1999-2018
 AND         ZP      : 1987-1997
 AND         ZS      : 1983-1997
 AND         ZT      : 1983
 ANDI        GD      : 1982-2018
 ANDI        HJ      : 1983-2018
 ANDI        PX      : 2015-2017
 ANDI        QD      : 1911-2018, 6190, 7100, 8110
 ANDI        QJ      : 2015
 ANDI        QU      : 1911-1919, 1921-2018, 7100
 ANDI        QV      : 2015-2018
 ANDI        SD      : 1990, 2015-2017
 ANDI        WI      : 1992-2001
 ANDI        WK      : 1992-2001
 ANDI        WZ      : 1992-2001
 ANDI        XQU     : 1961-1990
 ANFW        QD      : 1910-1979
 ANNO        GD      : 2003-2008
 ANNO        HJ      : 2003-2008
 ANNO        QD      : 2003-2008
 ANNO        WM      : 2003-2008
 ANNO        WN      : 2003-2008
 ANNO        WY      : 2003-2008
 ANRO        MM      : 1984-2018
 ANRO        MN      : 1984-2018
 ANRO        MX      : 1997-2018
 ANRO        PC      : 1980-2018
 ANRO        PP      : 2011
 ANRO        SD      : 2002-2018
 ANRO        SE      : 1980-2018, 6190
 ANRO        SS      : 2002-2018
 ANTI        GD      : 1982-2018
 ANTI        HJ      : 1983-2018
 ANTI        QD      : 1919-1922, 1925-1927, 1935-2018, 6190
 ANTI        QDX     : 1987-1989
 ANTI        QU      : 1974-1975, 1983-1984, 1996
 ANTI        QX      : 1986
 ANTO        GD      : 2004-2018
 ANTO        GJ      : 2004-2017
 ANTO        HH      : 2010-2015
 ANTO        HJ      : 2010-2018
 ANTO        QD      : 2004-2018
 ANTO        QJ      : 2004-2017
 ANTO        QZ      : 2004-2010
 ANTO        WI      : 2004, 2010-2018
 ANTO        WK      : 2004, 2010-2018
 ANTO        WZ      : 2004, 2010-2018
 ANVN        ET      : 2014-2016
 ANVN        ETOS    : 2014-2016
 ANVN        ETRS    : 2014-2016
 ANVN        MM      : 2014-2016
 ANVN        MN      : 2014-2016
 ANVN        MX      : 2014-2016
 ANVN        PC      : 2014-2016
 ANVN        PP      : 2014-2016
 ANVN        PU      : 2015-2016
 ANVN        SR      : 2014-2016
 ANVN        TA      : 2014-2016
 ANVN        TG      : 2014-2016
 ANVN        UA      : 2014-2016
 ANVN        UD      : 2014-2016
 ANVN        WG      : 2014-2016
 ANVN        WR      : 2014-2016
 ANVN        YM      : 2014-2016
 APP         AF      : 1986-1992, 1999-2018, 8110
 APP         FB      : 1981-1995, 1999-2018
 APP         ID      : 1999-2018
 APP         QD      : 1999-2018
 APPO        CM      : 1987
 APPO        CN      : 1987
 APPO        CX      : 1987
 APPO        DM      : 1985-1988
 APPO        DN      : 1985-1988
