ANDERSON FORECAST                                                                                                 
   197.02   107.83   304.90    19.04  2987.52                                                                 1972
   197.67    61.09   160.10    15.49  1250.77                                                                 1973
   233.28   107.81   338.10    10.01  3060.40                                                                 1974
   165.29    91.21   261.70    19.92  2390.07                                                                 1975
   228.05    82.01   226.10    17.18  1977.07                                                                 1976
   158.58    17.85    51.40    24.03   615.59                                                                 1977
   193.33    95.76   232.50    23.24  2171.24                                                                 1978
   154.63    47.62   152.70    13.27  1135.14                                                                 1979
   131.04    80.91   235.00    25.41  1962.18                                                                 1980
   169.09    59.53   137.50    24.66  1361.30                                                                 1981
   215.91   123.74   299.10    17.01  3024.00                                                                 1982
   233.82   112.69   282.10    21.05  3126.72                                                                 1983
   275.79   100.85   205.30    28.05  2689.29                                                                 1984
   219.93    66.57   182.10    12.86  1501.65                                                                 1985
   206.33    98.04   262.50    22.14  2779.69                                                                 1986
   187.75    41.71   111.30    14.69   909.15                                                                 1987
   131.66    53.79   150.60    20.91   997.17                                                                 1988
   136.82    96.78   218.20    10.13  1682.09                                                                 1989
   131.93    50.27   130.70    38.47  1093.78                                                                 1990
   116.10    46.61   128.40    25.95   933.97                                                                 1991
   141.98    47.06   110.80    19.76   751.87                                                                 1992
   107.08    94.35   216.60    37.07  1964.34                                                                 1993
   135.79    41.90   117.60    17.50   838.38                                                                 1994
   117.68    87.21   242.00    38.89  2318.71                                                                 1995
   288.29    96.65   235.20    31.77  2775.36                                                                 1996
   285.31   124.66   311.00    22.05  3412.52                                                                 1997
   197.60    72.09   172.30    48.71  2091.20                                                                 1998
   187.72    89.89   239.10    17.99  2297.05                                                                 1999
   173.36    79.07   182.20    16.85  1561.79                                                                 2000
   152.81    51.47    98.40    12.06   819.86                                                                 2001
   129.46    77.35   185.80    11.43  1444.45                                                                 2002
   129.07    68.98   189.50    23.40  1547.48                                                                 2003
   131.94    69.86   168.70    23.20  1331.36                                                                 2004
   146.53    45.74   123.00    35.48  1173.51                                                                 2005
   177.40   107.27   252.10    25.46  2617.89                                                                 2006
   191.66    60.69   135.70    11.28  1170.55                                                                 2007
   169.29    82.64   200.20    11.95  1671.33                                                                 2008
   152.64    66.27   176.30    35.04  1602.97                                                                 2009
   155.02    73.17   138.00    33.61  1482.66                                                                 2010
   176.49    90.74   200.80    32.46  2313.65                                                                 2011
   175.93    92.17   209.50    16.86  2091.36                                                                 2012
BULLY CREEK FORECAST                                                                                              
  5  5 70                 1 11943    1    1     547                                                               
BULLY CREEK                                                                                                       
     1.00    57.27   139.80    16.52    55.70                                                                 1943
     0.70    28.97    46.30    23.27     5.80                                                                 1944
     0.40    43.97    60.10    31.59    22.30                                                                 1945
     0.40    43.96   120.80    17.93    27.70                                                                 1946
     0.70    34.13    48.90    22.10     6.00                                                                 1947
     0.50    28.84    61.50    31.78     0.90                                                                 1948
     0.10    31.84   113.70    17.06     6.60                                                                 1949
     0.20    35.57    79.20    18.71     9.90                                                                 1950
     0.30    48.25    88.60    17.10    16.70                                                                 1951
     0.50    58.82   138.60    17.89    48.40                                                                 1952
     1.00    41.12   101.70    36.62    38.30                                                                 1953
     0.90    32.36    78.40    20.49     7.10                                                                 1954
     0.30    23.48    68.10    21.28     0.60                                                                 1955
     0.00    56.98   125.50    17.11    25.40                                                                 1956
     2.50    53.33    60.50    35.61    49.40                                                                 1957
     1.10    56.90   120.10    26.20    50.30                                                                 1958
     1.10    24.46    48.10    17.09     2.70                                                                 1959
     0.40    35.08    76.10    25.83    16.70                                                                 1960
     0.30    34.39    55.20    19.69     1.70                                                                 1961
     0.00    40.56    71.10    18.02    19.20                                                                 1962
     0.70    46.82    25.30    30.77    22.30                                                                 1963
     0.38    35.04    74.70    26.91    11.59                                                                 1964
     0.58    62.61   117.90    18.40    64.28                                                                 1965
     0.96    22.31    54.90     9.90     4.87                                                                 1966
     0.28    43.10    65.90    28.92    19.10                                                                 1967
     0.65    35.15    44.30     8.29    11.21                                                                 1968
     0.57    57.61    96.40    13.29    46.95                                                                 1969
     0.57    67.09   111.40    14.24    35.17                                                                 1970
     0.60    52.05    82.80    25.44    45.59                                                                 1971
     0.56    40.26   120.50    15.86    20.12                                                                 1972
     0.48    37.00    59.00    11.53    12.03                                                                 1973
     0.56    49.37   126.50    17.18    39.74                                                                 1974
     0.69    35.52   105.60    27.58    27.92                                                                 1975
     1.20    40.81    80.00    10.08    10.22                                                                 1976
     0.83    10.04     4.60    17.51     1.58                                                                 1977
     0.21    58.48    80.70    28.64    56.34                                                                 1978
     0.61    37.13   103.60    19.28    22.91                                                                 1979
     0.68    48.35    82.50    29.77    42.02                                                                 1980
     0.98    35.10    42.10    33.77    20.79                                                                 1981
     2.10    73.15   118.30    25.80   114.60                                                                 1982
     2.50    57.28   121.00    40.19   137.70                                                                 1983
     2.80    53.42   111.10    32.59   123.20                                                                 1984
     2.92    33.08    83.70    15.44    32.70                                                                 1985
