Date,0,10000,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000,120000,130000,140000,150000,160000,170000,180000,190000,200000,210000,220000,230000,240000,250000,260000,270000,280000,290000,300000
3/23/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4161.92847,8957.275201,13822.13475,18747.35033,23723.76515,28742.22241,33793.56533,38868.6371,43958.28095,49053.34007,54144.65767,59223.07697,64279.44117,69304.59348
3/24/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522.6620473,5239.351416,10033.85872,14897.02717,19819.69997,24792.72032,29806.93145,34853.17655,39922.29883,45005.14151,50092.54778,55175.36087,60244.42397,65290.58029,70304.67304
3/25/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1599.115928,6315.780071,11109.41047,15970.85034,20890.94288,25860.5313,30870.45882,35911.56863,40974.70395,46050.70798,51130.42393,56204.69502,61264.36444,66300.27541,71303.27114
3/26/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2674.556993,7391.158435,12183.87446,17043.54827,21961.02308,26927.14209,31932.74852,36968.68557,42025.79644,47094.92436,52166.91252,57232.60413,62282.8424,67308.47054,72300.33176
3/27/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3748.929242,8465.430508,13257.19468,18115.06496,23029.88456,27992.49669,32993.74455,38024.47136,43075.52032,48137.73464,53201.95753,58259.0322,63299.80185,68315.10969,73295.79893
3/28/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.3810789,4822.176676,9538.540291,14329.31513,19185.34441,24097.47133,29056.5391,34053.39093,39078.87002,44123.81959,49179.08284,54235.50298,59283.92323,64315.18677,69320.13684,74289.61662
3/29/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260.771147,5894.243295,10610.43178,15400.17982,20254.33062,25163.72738,30119.21332,35111.63163,40131.82554,45170.63824,50218.91295,55267.49287,60307.22121,65328.94119,70323.496,75281.72885
3/30/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330.961876,6965.0731,11681.04899,16469.73275,21321.96759,26228.59672,31180.46335,36168.41067,41183.28192,46215.92028,51257.16897,56297.87119,61328.87016,66341.00909,71325.13117,76272.07962
3/31/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3399.897265,8034.610092,12750.3359,17537.91791,22388.19932,27292.02334,32240.23318,37223.67205,42233.18315,47259.6097,52293.7949,57326.58195,62348.81407,67351.33447,72324.98635,77260.61292
4/1/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.582148,5146.144547,9657.580368,14475.5178,18927.99328,23971.07593,29007.06926,34035.97325,39057.78791,44072.51323,49080.14923,54080.69589,59074.15322,64060.52121,69039.79988,74011.98921,78977.08921
4/2/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432.209053,6602.490743,11186.61433,16016.52102,20647.87114,25693.82691,30732.69334,35764.47045,40789.15822,45806.75666,50817.26577,55820.68555,60817.016,65806.25711,70788.40889,75763.47134,80000
4/3/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3827.804449,8121.571383,12768.60993,17605.31235,22365.1693,27413.99819,32455.73774,37490.38796,42517.94885,47538.42041,52551.80263,57558.09552,62557.29908,67549.41331,72534.4382,77512.37377,80000
4/4/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1226.666537,5289.145393,9693.529856,14394.93437,19234.34019,24079.88777,29131.58977,34176.20244,39213.72578,44244.15978,49267.50445,54283.75979,59292.9258,64295.00247,69289.98982,74277.88783,79258.69651,80000
4/5/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2591.68788,6805.791417,11309.23559,16057.62439,20896.66611,25792.02656,30846.60167,35894.08745,40934.48391,45967.79102,50994.00881,56013.13726,61025.17639,66030.12618,71027.98663,76018.75776,80000,80000
4/6/2011,0,0,0,0,0,0,0,0,0,0,0,0,0,4016.530522,8368.058757,12960.25826,17749.36058,22585.93905,27501.58565,32559.03388,37609.39277,42652.66234,47688.84257,52717.93347,57739.93504,62754.84728,67762.67019,72763.40376,77757.048,80000,80000
4/7/2011,0,0,0,0,0,0,0,0,0,0,0,0,1184.421019,5490.902072,9966.994575,14638.84204,19463.44157,24296.36952,29208.56504,34268.88639,39322.1184,44368.26108,49407.31443,54439.27845,59464.15313,64481.93848,69492.6345,74496.24119,79492.75855,80000,80000
4/8/2011,0,0,0,0,0,0,0,0,0,0,0,0,2547.831846,7005.271735,11594.35119,16337.87981,21193.75826,26022.70391,30912.96475,35976.15921,41032.26434,46081.28013,51123.2066,56158.04373,61185.79153,66206.44999,71220.01913,76226.49893,80000,80000,80000
4/9/2011,0,0,0,0,0,0,0,0,0,0,0,0,3956.126426,8550.84454,13242.5603,18050.88739,22934.76803,27760.19861,32614.78476,37680.85234,42739.83058,47791.71949,52836.51907,57874.22932,62904.85023,67928.38181,72944.82406,77954.17698,80000,80000,80000
4/10/2011,0,0,0,0,0,0,0,0,0,0,0,705.1062916,5399.907058,10119.53556,14904.7072,19771.97776,24681.469,29504.59433,34314.02508,39382.96577,44444.81713,49499.57916,54547.25185,59587.83521,64621.32924,69647.73394,74667.0493,79679.27534,80000,80000,80000
4/11/2011,0,0,0,0,0,0,0,0,0,0,0,2040.664845,6870.516759,11703.94415,16574.50504,21495.83529,26429.37422,31252.09027,36010.68571,41082.49952,46147.22399,51204.85913,56255.40494,61298.86142,66335.22856,71364.50637,76386.69485,80000,80000,80000,80000
4/12/2011,0,0,0,0,0,0,0,0,0,0,0,3407.786356,8360.01349,13297.32816,18246.269,23217.68997,28174.48594,32999.31836,37704.76665,42779.45357,47847.05116,52907.55941,57960.97834,63007.30793,68046.54819,73078.69911,78103.76071,80000,80000,80000,80000
4/13/2011,0,0,0,0,0,0,0,0,0,0,0,4797.931957,9861.144378,14893.57816,19914.89057,24933.29163,29913.26978,34743.31748,39396.26789,44473.82793,49544.29863,54607.68,59663.97204,64713.17475,69755.28812,74790.31216,79818.24687,80000,80000,80000,80000
4/14/2011,0,0,0,0,0,0,0,0,0,0,1007.230436,6203.282614,11367.31995,16487.19169,21575.81173,26638.88417,31642.62901,36481.50772,41085.18945,46165.6226,51238.96642,56305.2209,61364.38605,66416.46188,71461.44837,76499.34552,80000,80000,80000,80000,80000
4/15/2011,0,0,0,0,0,0,0,0,0,0,2328.616108,7616.713359,12872.58834,18073.24745,23224.9992,28331.17979,33359.87873,38211.66454,42771.53131,47854.83757,52931.05451,58000.18211,63062.22038,68117.16931,73165.02892,78205.79919,80000,80000,80000,80000,80000
4/16/2011,0,0,0,0,0,0,0,0,0,0,3661.551906,9031.76751,14371.60954,19647.37956,24858.91868,30007.33318,35062.72014,39931.89307,44455.29348,49541.47286,54620.5629,59692.56362,64757.475,69815.29706,74866.02978,79909.67316,80000,80000,80000,80000,80000
4/17/2011,0,0,0,0,0,0,0,0,0,0,4999.020886,10442.6309,15859.62962,21205.75176,26474.50904,31664.91582,36749.21472,41640.60229,46136.47595,51225.52845,56307.49161,61382.36544,66450.14994,71510.84511,76564.45094,80000,80000,80000,80000,80000,80000
4/18/2011,0,0,0,0,0,0,0,0,0,0,6334.67929,11844.10611,17332.45494,22745.03164,28069.15655,33301.89012,38417.7585,43336.47925,47815.07874,52907.00435,57991.84063,63069.58757,68140.24519,73203.81347,78260.29242,80000,80000,80000,80000,80000,80000
4/19/2011,0,0,0,0,0,0,0,0,0,814.4617871,7662.830766,13231.58667,18786.42638,24262.3649,29640.66917,34916.58371,40067.05626,45018.46335,49491.10183,54585.90056,59673.60995,64754.23001,69827.76074,74894.20214,79953.5542,80000,80000,80000,80000,80000,80000
4/20/2011,0,0,0,0,0,0,0,0,0,2060.195173,8978.4006,14601.03133,20218.39359,25755.34951,31187.25067,36507.66366,41696.09575,46685.72049,51164.54523,56262.21707,61352.79958,66436.29276,71512.6966,76582.01111,80000,80000,80000,80000,80000,80000,80000
4/21/2011,0,0,0,0,0,0,0,0,0,3269.629926,10276.90994,15948.93824,21625.68916,27222.01001,32707.47494,38074.11065,43304.12193,48337.61736,52835.40894,57935.9539,63029.40952,68115.77581,73195.05277,78267.24039,80000,80000,80000,80000,80000,80000,80000
4/22/2011,0,0,0,0,0,0,0,0,0,4443.917721,11554.45001,17272.31919,23006.10293,28660.77167,34200.2602,39615.19327,44890.61122,49973.69564,54503.69296,59607.11103,64703.43977,69792.67917,74874.82924,79949.88999,80000,80000,80000,80000,80000,80000,80000
4/23/2011,0,0,0,0,0,0,0,0,0,5584.225603,12807.65637,18568.67386,24357.85613,30070.43478,35664.84319,41130.44219,46455.24567,51593.64622,56169.39728,61275.68847,66374.89032,71467.00284,76552.02603,80000,80000,80000,80000,80000,80000,80000,80000
