Date,0,100000,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000,1200000,1300000,1400000,1500000,1600000,1700000,1800000,1900000,2000000,2100000,2200000,2300000,2400000,2500000,2600000,2700000,2800000,2900000,3000000
2/21/2011 0:00,70000,70000,70000,70000,70000,71334.73177,84673.62213,101752.4415,122913.0534,148119.4904,180191.3954,209663.7859,245697.5342,277950.9212,320199.3953,368863.0951,418867.4388,472279.1048,532425.6576,598006.4953,657194.0108,657194.0108,657194.0108,657194.0108,657194.0108,657194.0108,657194.0108,657194.0108,657194.0108,657194.0108,657194.0108
2/22/2011 0:00,70000,70000,70000,70000,70000,72822.65367,87570.13586,104967.3571,126590.7396,152416.4495,185271.5825,215366.7006,251951.4455,284928.7285,327738.9201,376781.3629,426977.6885,480402.332,540362.4519,605469.1682,663699.0189,663699.0189,663699.0189,663699.0189,663699.0189,663699.0189,663699.0189,663699.0189,663699.0189,663699.0189,663699.0189
2/23/2011 0:00,70000,70000,70000,70000,70000,74285.31683,90387.68931,108115.263,130206.5762,156649.9289,190299.9772,221013.5615,258143.9637,291856.9643,335201.4433,384598.7868,434964.5356,488378.8482,548126.7135,612729.4812,669966.612,669966.612,669966.612,669966.612,669966.612,669966.612,669966.612,669966.612,669966.612,669966.612,669966.612
2/24/2011 0:00,70000,70000,70000,70000,70000,75722.00614,93127.57623,111197.1426,133761.2363,160820.291,195274.6473,226602.147,264272.578,298730.4418,342581.9176,392310.7927,442824.1823,496205.904,555716.9837,619787.4778,675998.5175,675998.5175,675998.5175,675998.5175,675998.5175,675998.5175,675998.5175,675998.5175,675998.5175,675998.5175,675998.5175
2/25/2011 0:00,70000,70000,70000,70000,70000,77132.02533,95791.06982,114213.9587,137255.3723,164927.878,200193.7075,232130.2829,270334.8248,305543.9556,349875.3262,399912.8732,450552.9214,503880.8533,563131.9079,626643.2948,681796.5329,681796.5329,681796.5329,681796.5329,681796.5329,681796.5329,681796.5329,681796.5329,681796.5329,681796.5329,681796.5329
2/26/2011 0:00,70000,70000,70000,70000,70000,78514.69701,98379.42283,117166.6537,140689.6161,168973.0112,205055.32,237595.842,276328.2879,312292.3115,357076.7089,407400.6121,458147.1602,511401.1754,570370.2557,633297.1804,687362.5429,687362.5429,687362.5429,687362.5429,687362.5429,687362.5429,687362.5429,687362.5429,687362.5429,687362.5429,687362.5429
2/27/2011 0:00,70000,70000,70000,70000,70000,79869.36262,100893.8675,120056.1492,144064.579,172955.9918,209857.694,242996.7445,282250.598,318970.3535,364181.1886,414769.709,465603.442,518764.4945,577430.9393,639749.5106,692698.5333,692698.5333,692698.5333,692698.5333,692698.5333,692698.5333,692698.5333,692698.5333,692698.5333,692698.5333,692698.5333
2/28/2011 0:00,70000,70000,70000,70000,70000,81195.3825,103335.6155,122883.3467,147380.8521,176877.1002,214599.0861,248330.9575,288099.4334,325572.99,371183.9951,422016.0008,472918.4666,525968.5989,584313.0295,646000.8039,697806.6043,697806.6043,697806.6043,697806.6043,697806.6043,697806.6043,697806.6043,697806.6043,697806.6043,697806.6043,697806.6043
3/1/2011 0:00,67741.93548,67741.93548,67741.93548,67741.93548,67741.93548,82492.1358,105705.8581,125649.1271,150639.0057,180736.5964,219277.7999,253596.4955,293872.5192,332095.2177,378080.4872,429135.4826,480089.1094,533011.457,591015.7716,652051.7347,702688.9815,702688.9815,702688.9815,702688.9815,702688.9815,702688.9815,702688.9815,702688.9815,702688.9815,702688.9815,702688.9815
3/2/2011 0:00,65483.87097,65483.87097,65483.87097,65483.87097,65483.87097,83759.02055,108005.766,128354.3505,153839.5898,184534.72,223892.1864,258791.4203,299567.6279,338532.1445,384866.1738,436124.3267,487112.4376,539891.2332,597538.5979,657903.144,707348.0256,707348.0256,707348.0256,707348.0256,707348.0256,707348.0256,707348.0256,707348.0256,707348.0256,707348.0256,707348.0256
