GOESDEC,ACTIVE, RTCNAME, S_OFV, S_ONV, S_NV, S_TTMODE, S_RTFV, S_OTC, S_TBV, S_DTFMT, S_DTSIZE, S_BID, S_BIDCNT, R_OFV, R_ONV, R_NV, R_TTMODE, R_RTFV, R_OTC, R_TBV, R_DTFMT, R_DTSIZE, R_BID, R_BIDCNT, EDITDATE, OWNER,                                                                                                                                                                                       
TEAW    WF,0,,3,6,16,R,-5,0,-15,B,3,,0,2,3,2,I,0,-1,-15,B,3,2,1,09-NOV-2010 19:02:14.87,HYDROMET,                                                                                                                                                                                                                                                                                                               
TEST    GH,1,,4,3,8,R,-3,0,-15,T,3,,0,0,0,0,I,0,0,0,,0,,0,22-JUN-2012 09:26:50.08,HYDROMET,                                                                                                                                                                                                                                                                                                                     
TICW    GH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:51:19.34,HYDROMET,                                                                                                                                                                                                                                                                                                                     
TICW    OB,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:51:19.34,HYDROMET,                                                                                                                                                                                                                                                                                                                     
TICW    PC,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,13-NOV-1990 14:51:19.34,HYDROMET,                                                                                                                                                                                                                                                                                                                     
TIEW    CH,1,,0,0,32,R,0,0,0,,32,,0,0,0,32,I,0,0,0,,32,,0,27-FEB-2003 13:29:04.24,QKREUTER,                                                                                                                                                                                                                                                                                                                     
TNAW    GH,1,,4,9,4,R,-5,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,21-SEP-2011 10:47:51.63,HYDROMET,                                                                                                                                                                                                                                                                                                                   
TNAW    OB,1,,7,9,4,R,-5,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,21-SEP-2011 10:47:57.50,HYDROMET,                                                                                                                                                                                                                                                                                                                   
TNAW    PC,1,,10,9,4,R,-5,0,-15,T,3,,0,0,0,32,I,0,0,0,,32,,0,21-SEP-2011 10:48:51.12,HYDROMET,                                                                                                                                                                                                                                                                                                                  
UMTW    GH,1,,6,6,4,R,-7,0,-15,B,3,,0,0,0,32,I,0,0,0,,32,,0,01-FEB-1999 13:19:02.04,HYDROMET,                                                                                                                                                                                                                                                                                                                   
UMTW    WF,1,,3,6,4,R,-7,0,-15,B,3,,0,0,0,32,I,0,0,0,,32,,0,01-FEB-1999 13:18:40.19,HYDROMET,                                                                                                                                                                                                                                                                                                                   
