id,seriesid,name,value
787,359,t1,1/1/2010
788,359,t2,5/8/2017
789,359,count,2685
790,360,t1,1/1/2010
791,360,t2,5/8/2017
792,360,count,2685
793,361,t1,1/1/2010
794,361,t2,5/8/2017
795,361,count,2685
796,362,t1,1/1/2010
797,362,t2,5/8/2017
798,362,count,2685
799,363,t1,1/1/2010
800,363,t2,5/8/2017
801,363,count,2685
802,364,t1,1/1/2010
803,364,t2,5/8/2017
804,364,count,2685
805,365,t1,1/1/2010
806,365,t2,5/8/2017
807,365,count,2685
808,366,t1,1/1/2010
809,366,t2,5/8/2017
810,366,count,2685
811,367,t1,1/1/2010
812,367,t2,5/8/2017
813,367,count,2685
814,368,t1,1/1/2010
815,368,t2,5/8/2017
816,368,count,2685
817,369,t1,1/1/2010
818,369,t2,5/8/2017
819,369,count,2685
823,371,t1,1/1/2010
824,371,t2,5/8/2017
825,371,count,2685
826,372,t1,1/1/2010
827,372,t2,5/8/2017
828,372,count,2685
829,373,t1,1/1/2010
830,373,t2,5/8/2017
831,373,count,2685
832,374,t1,1/1/2010
833,374,t2,5/8/2017
834,374,count,2685
835,375,t1,1/1/2010
836,375,t2,5/8/2017
837,375,count,2685
838,376,t1,1/1/2010
839,376,t2,5/8/2017
840,376,count,2685
841,377,t1,1/1/2010
842,377,t2,5/8/2017
843,377,count,2685
844,378,t1,1/1/2010
845,378,t2,5/8/2017
846,378,count,2685
847,379,t1,1/1/2010
848,379,t2,5/8/2017
849,379,count,2685
850,380,t1,1/1/2010
851,380,t2,5/8/2017
852,380,count,2685
853,381,t1,1/1/2010
854,381,t2,5/8/2017
855,381,count,2685
856,382,t1,1/1/2010
857,382,t2,5/8/2017
858,382,count,2685
859,383,t1,1/1/2010
860,383,t2,5/8/2017
861,383,count,2685
862,384,t1,1/1/2010
863,384,t2,5/8/2017
864,384,count,2685
865,385,t1,1/1/2010
866,385,t2,5/8/2017
867,385,count,2685
868,386,t1,1/1/2010
869,386,t2,5/8/2017
870,386,count,2685
871,387,t1,1/1/2010
872,387,t2,5/8/2017
873,387,count,2685
874,388,t1,1/1/2010
875,388,t2,5/8/2017
876,388,count,2685
877,389,t1,1/1/2010
878,389,t2,5/8/2017
879,389,count,2685
880,390,t1,1/1/2010
881,390,t2,5/8/2017
882,390,count,2685
883,391,t1,1/1/2010
884,391,t2,5/8/2017
885,391,count,2685
886,392,t1,1/1/2010
887,392,t2,5/8/2017
888,392,count,2685
889,393,t1,1/1/2010
890,393,t2,5/8/2017
891,393,count,2685
892,394,t1,1/1/2010
893,394,t2,5/8/2017
894,394,count,2685
895,395,t1,1/1/2010
896,395,t2,5/8/2017
897,395,count,2685
901,397,t1,1/1/2010
902,397,t2,5/8/2017
903,397,count,2685
904,398,t1,1/1/2010
905,398,t2,5/8/2017
906,398,count,2685
907,399,t1,1/1/2010
908,399,t2,5/8/2017
909,399,count,2685
910,400,t1,1/1/2010
911,400,t2,5/8/2017
912,400,count,2685
913,401,t1,1/1/2010
914,401,t2,5/8/2017
915,401,count,2685
916,402,t1,1/1/2010
917,402,t2,5/8/2017
918,402,count,2685
