A_ID,parentid,isfolder,sortorder,iconname,name,siteid,units,timeinterval,parameter,tablename,provider,connectionstring,expression,notes,enabled
1735,1733,0,1124,sum,evfu_etos,evfu,,Daily,etos,daily_evfu_etos,CalculationSeries,,"DailyEtAscePenmanMontieth(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,3.0,daily_%site%_sr,%site%.latitude,%site%.elevation, 0.34,900)",,1
1734,1733,0,1123,sum,evfu_et,evfu,,Daily,et,daily_evfu_et,CalculationSeries,,"DailyEtKimberlyPenman(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,daily_%site%_sr,%site%.latitude,%site%.elevation)",,1
1743,1733,0,1132,sum,evfu_sr,evfu,,Daily,sr,daily_evfu_sr,CalculationSeries,,"DailySum(instant_%site%_si,92)/4.0",,1
1751,1733,0,1139,sum,evfu_xc,evfu,,Daily,xc,daily_evfu_xc,CalculationSeries,,DailyMin(instant_%site%_sw),,1
1737,1733,0,1126,sum,evfu_mm,evfu,,Daily,mm,daily_evfu_mm,CalculationSeries,,"DailyAverage(instant_%site%_obm,92)",,1
1748,1733,0,1137,sum,evfu_wg,evfu,,Daily,wg,daily_evfu_wg,CalculationSeries,,DailyMax(instant_%site%_wg),,1
1747,1733,0,1136,sum,evfu_ud,evfu,,Daily,ud,daily_evfu_ud,CalculationSeries,,DailyAzimuth(instant_%site%_wd),,1
1745,1733,0,1134,sum,evfu_tg,evfu,,Daily,tg,daily_evfu_tg,CalculationSeries,,"DailyGrowingDegree(instant_%site%_obx,instant_%site%_obn,86.0,50.0)",,1
1736,1733,0,1125,sum,evfu_etrs,evfu,,Daily,etrs,daily_evfu_etrs,CalculationSeries,,"DailyEtAscePenmanMontieth(daily_%site%_mm,daily_%site%_mn,daily_%site%_mx,daily_%site%_ym,daily_%site%_wr,3.0,daily_%site%_sr,%site%.latitude,%site%.elevation,0.38,1600.0)",,1
1756,1733,0,1145,sum,evfu_yw,evfu,,Daily,yw,daily_evfu_yw,CalculationSeries,,"DailyAverage(instant_%site%_sw,92)",,1
8011,5634,1,8520,,wfwi,wfwi,,,,folder2014dec10152440531,,,,,1
1750,1733,0,1144,sum,evfu_ym,evfu,,Daily,ym,daily_evfu_ym,CalculationSeries,,"DailyAverage(instant_%site%_tp,92)",,1
1754,1733,0,1142,sum,evfu_xh,evfu,,Daily,xh,daily_evfu_xh,CalculationSeries,,DailyMax(instant_%site%_sv),,1
1753,1733,0,1141,sum,evfu_xg,evfu,,Daily,xg,daily_evfu_xg,CalculationSeries,,DailyMax(instant_%site%_sw),,1
1752,1733,0,1140,sum,evfu_xd,evfu,,Daily,xd,daily_evfu_xd,CalculationSeries,,DailyMin(instant_%site%_sv),,1
1749,1733,0,1138,sum,evfu_wr,evfu,,Daily,wr,daily_evfu_wr,CalculationSeries,,"DailySum(instant_%site%_ws,92)/4.0",,1
1746,1733,0,1135,sum,evfu_ua,evfu,,Daily,ua,daily_evfu_ua,CalculationSeries,,"DailyAverage(instant_%site%_ws,92)",,1
1742,1733,0,1131,sum,evfu_pu,evfu,,Daily,pu,daily_evfu_pu,CalculationSeries,,"DailyWaterYearRunningTotal(daily_%site%_pp,daily_%site%_pu)",,1
1741,1733,0,1130,sum,evfu_pp,evfu,,Daily,pp,daily_evfu_pp,CalculationSeries,,daily_%site%_pc-daily_%site%_pc[t-1],,1
